Commodity,Date,Minimum,Maximum,Average
Tomato Big(Nepali),1/5/2021,50,60,55
Tomato Big(Indian),1/5/2021,50,60,55
Tomato Small(Local),1/5/2021,30,35,32.5
Tomato Small(Tunnel),1/5/2021,30,35,32.5
Tomato Small(Indian),1/5/2021,40,45,42.5
Tomato Small(Terai),1/5/2021,40,45,42.5
Potato Red,1/5/2021,40,45,42.5
Potato Red(Indian),1/5/2021,30,35,32.5
Potato White,1/5/2021,28,30,29
Onion Dry (Indian),1/5/2021,60,65,62.5
Carrot(Local),1/5/2021,110,120,115
Carrot(Terai),1/5/2021,70,80,75
Cabbage(Local),1/5/2021,25,30,27.5
Cabbage(Terai),1/5/2021,18,25,21.5
Cabbage,1/5/2021,25,30,27.5
Cauli Local,1/5/2021,25,35,30
Cauli Local(Jyapu),1/5/2021,40,50,45
Cauli Terai,1/5/2021,20,25,22.5
Raddish Red,1/5/2021,35,40,37.5
Raddish White(Local),1/5/2021,10,15,12.5
Raddish White(Hybrid),1/5/2021,15,20,17.5
Brinjal Long,1/5/2021,45,50,47.5
Brinjal Round,1/5/2021,45,50,47.5
Green Peas,1/5/2021,50,60,55
French Bean(Local),1/5/2021,50,60,55
French Bean(Hybrid),1/5/2021,60,70,65
Sword Bean,1/5/2021,50,55,52.5
Bitter Gourd,1/5/2021,100,110,105
Bottle Gourd,1/5/2021,35,40,37.5
Pumpkin,1/5/2021,20,25,22.5
Squash(Long),1/5/2021,25,30,27.5
Squash(Round),1/5/2021,45,50,47.5
Turnip,1/5/2021,70,80,75
Okara,1/5/2021,70,80,75
Sweet Potato,1/5/2021,70,80,75
Barela,1/5/2021,50,60,55
Arum,1/5/2021,50,60,55
Christophine,1/5/2021,15,20,17.5
Brd Leaf Mustard,1/5/2021,50,60,55
Spinach Leaf,1/5/2021,70,80,75
Cress Leaf,1/5/2021,80,90,85
Mustard Leaf,1/5/2021,50,60,55
Fenugreek Leaf,1/5/2021,70,80,75
Onion Green,1/5/2021,50,60,55
Bakula,1/5/2021,110,120,115
Yam,1/5/2021,50,60,55
Mushroom(Kanya),1/5/2021,150,160,155
Mushroom(Button),1/5/2021,250,280,265
